nestID,bidx,bid,felv,fscale,gels,wse_sB_0020_1218_dep,wse_sB_0100_1218_dep,wse_sB_0200_1218_dep,wse_sB_0500_1218_dep
f0,0,254399,281.19,1.0,281.19,-1.67,-1.12,-0.83,-0.51
f0,1,254420,345.79,1.0,345.79,-6.42,-6.07,-5.81,-5.77
f0,2,1143000,342.47,1.0,342.47,-3.1,-2.75,-2.49,-2.45
f0,3,1964000,354.53,1.0,354.53,-15.16,-14.81,-14.55,-14.51
f0,4,2004001,348.67,1.0,348.67,-9.3,-8.95,-8.69,-8.65
f0,5,2061000,351.58,1.0,351.58,-12.21,-11.86,-11.6,-11.56
f0,6,2092000,359.86,1.0,359.86,-20.49,-20.14,-19.88,-19.84
f0,7,2141001,356.88,1.0,356.88,-17.51,-17.16,-16.9,-16.86
f0,8,2322000,345.01,1.0,345.01,-5.64,-5.29,-5.03,-4.99
f0,9,2417000,352.26,1.0,352.26,-12.89,-12.54,-12.28,-12.24
f0,10,2427000,349.83,1.0,349.83,-10.46,-10.11,-9.85,-9.81
f0,11,2598000,346.17,1.0,346.17,-6.8,-6.45,-6.19,-6.15
f0,12,2608000,347.41,1.0,347.41,-8.04,-7.69,-7.43,-7.39
f0,13,2678000,349.54,1.0,349.54,-10.17,-9.82,-9.56,-9.52
f0,14,2733000,347.84,1.0,347.84,-8.47,-8.12,-7.86,-7.82
f0,15,2841001,345.33,1.0,345.33,-5.96,-5.61,-5.35,-5.31
f0,16,2851000,345.21,1.0,345.21,-5.84,-5.49,-5.23,-5.19
f0,17,2881000,343.64,1.0,343.64,-0.15,0.23,0.42,0.65
f0,18,2899000,345.03,1.0,345.03,-5.66,-5.31,-5.05,-5.01
f0,19,2899001,344.74,1.0,344.74,-5.37,-5.02,-4.76,-4.72
f0,20,2919000,344.44,1.0,344.44,-5.07,-4.72,-4.46,-4.42
f0,21,2926001,343.79,1.0,343.79,-4.42,-4.07,-3.81,-3.77
f0,22,2963000,345.83,1.0,345.83,-6.46,-6.11,-5.85,-5.81
f0,23,2982000,345.82,1.0,345.82,-6.45,-6.1,-5.84,-5.8
f0,24,3054000,346.7,1.0,346.7,-7.33,-6.98,-6.72,-6.68
f0,25,3359000,346.8,1.0,346.8,-7.43,-7.08,-6.82,-6.78
f0,26,3402000,350.75,1.0,350.75,-11.38,-11.03,-10.77,-10.73
f0,27,3440000,352.92,1.0,352.92,-13.55,-13.2,-12.94,-12.9
f0,28,3440001,353.51,1.0,353.51,-14.14,-13.79,-13.53,-13.49
f0,29,3531000,346.01,1.0,346.01,-2.52,-2.14,-1.95,-1.72
f0,30,4504000,345.35,1.0,345.35,-1.86,-1.48,-1.29,-1.06
f0,31,4506000,344.08,1.0,344.08,-0.59,-0.21,-0.02,0.21
f0,32,4531001,343.88,1.0,343.88,-0.39,-0.01,0.18,0.41
f0,33,4538000,344.21,1.0,344.21,-0.72,-0.34,-0.15,0.08
f0,34,4560001,343.82,1.0,343.82,-0.33,0.05,0.24,0.47
f0,35,4619001,343.4,1.0,343.4,0.09,0.47,0.66,0.89
f0,36,4692000,344.57,1.0,344.57,-1.08,-0.7,-0.51,-0.28
f0,37,4713000,345.15,1.0,345.15,-1.66,-1.28,-1.09,-0.86
f0,38,4714000,345.34,1.0,345.34,-1.85,-1.47,-1.28,-1.05
f0,39,4752000,344.41,1.0,344.41,-0.92,-0.54,-0.35,-0.12
f0,40,4797000,344.1,1.0,344.1,-0.61,-0.23,-0.04,0.19
f0,41,4801000,343.93,1.0,343.93,-0.44,-0.06,0.13,0.36
f0,42,4813000,344.34,1.0,344.34,-0.85,-0.47,-0.28,-0.05
f0,43,4838000,344.67,1.0,344.67,-1.18,-0.8,-0.61,-0.38
f0,44,4838001,344.52,1.0,344.52,-1.03,-0.65,-0.46,-0.23
f0,45,4841000,344.5,1.0,344.5,-1.01,-0.63,-0.44,-0.21
f0,46,4843000,344.45,1.0,344.45,-0.96,-0.58,-0.39,-0.16
f0,47,4844000,344.37,1.0,344.37,-0.88,-0.5,-0.31,-0.08
f0,48,4847000,344.44,1.0,344.44,-0.95,-0.57,-0.38,-0.15
f0,49,4851000,344.84,1.0,344.84,-1.35,-0.97,-0.78,-0.55
f0,50,4869000,344.4,1.0,344.4,-0.91,-0.53,-0.34,-0.11
f0,51,4970000,344.07,1.0,344.07,-0.58,-0.2,-0.01,0.22
f0,52,5001000,344.34,1.0,344.34,-0.85,-0.47,-0.28,-0.05
f0,53,5001001,344.13,1.0,344.13,-0.64,-0.26,-0.07,0.16
f0,54,5009000,344.31,1.0,344.31,-0.82,-0.44,-0.25,-0.02
f0,55,5071000,344.89,1.0,344.89,-1.4,-1.02,-0.83,-0.6
f0,56,5072000,344.73,1.0,344.73,-1.24,-0.86,-0.67,-0.44
f0,57,5929000,343.75,1.0,343.75,-0.26,0.12,0.31,0.54
f0,58,6175002,409.76,1.0,409.76,-17.01,-16.51,-16.4,-16.23
f0,59,12744001,347.65,1.0,347.65,-8.28,-7.93,-7.67,-7.63
f0,60,12744002,348.09,1.0,348.09,-8.72,-8.37,-8.11,-8.07
f0,61,12854000,349.08,1.0,349.08,-9.71,-9.36,-9.1,-9.06
f0,62,12878000,353.0,1.0,353.0,-13.63,-13.28,-13.02,-12.98
f0,63,13019000,350.34,1.0,350.34,-10.97,-10.62,-10.36,-10.32
f0,64,13181000,362.26,1.0,362.26,-22.89,-22.54,-22.28,-22.24
f0,65,13196001,357.24,1.0,357.24,-17.87,-17.52,-17.26,-17.22
f0,66,13507000,357.97,1.0,357.97,-18.6,-18.25,-17.99,-17.95
f0,67,13610000,349.94,1.0,349.94,-10.57,-10.22,-9.96,-9.92
f0,68,13922001,344.47,1.0,344.47,-5.1,-4.75,-4.49,-4.45
f0,69,13932000,344.32,1.0,344.32,-4.95,-4.6,-4.34,-4.3
f0,70,13936000,344.15,1.0,344.15,-4.78,-4.43,-4.17,-4.13
f0,71,14845000,355.5,1.0,355.5,-16.13,-15.78,-15.52,-15.48
f0,72,15577001,356.18,1.0,356.18,-12.69,-12.31,-12.12,-11.89
f0,73,15577002,359.87,1.0,359.87,-16.38,-16.0,-15.81,-15.58
f0,74,17030001,344.69,1.0,344.69,-1.2,-0.82,-0.63,-0.4
f0,75,20324000,345.03,1.0,345.03,-1.54,-1.16,-0.97,-0.74
f0,76,20357000,345.14,1.0,345.14,-1.65,-1.27,-1.08,-0.85
f0,77,20642000,345.43,1.0,345.43,-1.94,-1.56,-1.37,-1.14
f0,78,20919001,344.89,1.0,344.89,-1.4,-1.02,-0.83,-0.6
f0,79,20921000,344.0,1.0,344.0,-0.51,-0.13,0.06,0.29
f0,80,20936001,343.97,1.0,343.97,-0.48,-0.1,0.09,0.32
f0,81,20956000,344.21,1.0,344.21,-0.72,-0.34,-0.15,0.08
f0,82,20982000,344.28,1.0,344.28,-0.79,-0.41,-0.22,0.01
f0,83,20998000,344.05,1.0,344.05,-0.56,-0.18,0.01,0.24
f0,84,21057001,345.16,1.0,345.16,-1.67,-1.29,-1.1,-0.87
f0,85,21066001,345.21,1.0,345.21,-1.72,-1.34,-1.15,-0.92
f0,86,21079000,344.34,1.0,344.34,-0.85,-0.47,-0.28,-0.05
f0,87,21081000,344.03,1.0,344.03,-0.54,-0.16,0.03,0.26
f0,88,21122000,344.02,1.0,344.02,-0.53,-0.15,0.04,0.27
f0,89,21141000,344.2,1.0,344.2,-0.71,-0.33,-0.14,0.09
f0,90,21185000,344.17,1.0,344.17,-0.68,-0.3,-0.11,0.12
f0,91,21186000,344.93,1.0,344.93,-1.44,-1.06,-0.87,-0.64
f0,92,21199000,343.63,1.0,343.63,-0.14,0.24,0.43,0.66
f0,93,21221000,343.49,1.0,343.49,0.0,0.38,0.57,0.8
f0,94,21224000,343.61,1.0,343.61,-0.12,0.26,0.45,0.68
f0,95,21305000,345.22,1.0,345.22,-1.73,-1.35,-1.16,-0.93
f0,96,21305001,345.46,1.0,345.46,-1.97,-1.59,-1.4,-1.17
f0,97,21355000,344.97,1.0,344.97,-1.48,-1.1,-0.91,-0.68
f0,98,21410000,344.78,1.0,344.78,-1.29,-0.91,-0.72,-0.49
f0,99,21430000,343.86,1.0,343.86,-0.37,0.01,0.2,0.43
f0,100,21435000,343.9,1.0,343.9,-0.41,-0.03,0.16,0.39
f0,101,21457000,344.03,1.0,344.03,-0.54,-0.16,0.03,0.26
f0,102,21469000,343.88,1.0,343.88,-0.39,-0.01,0.18,0.41
f0,103,21472000,344.4,1.0,344.4,-0.91,-0.53,-0.34,-0.11
f0,104,21482000,344.33,1.0,344.33,-0.84,-0.46,-0.27,-0.04
f0,105,21483000,344.56,1.0,344.56,-1.07,-0.69,-0.5,-0.27
f0,106,21486001,344.12,1.0,344.12,-0.63,-0.25,-0.06,0.17
f0,107,21506000,344.08,1.0,344.08,-0.59,-0.21,-0.02,0.21
f0,108,21507000,344.09,1.0,344.09,-0.6,-0.22,-0.03,0.2
f0,109,21551000,344.14,1.0,344.14,-0.65,-0.27,-0.08,0.15
f0,110,21570000,343.64,1.0,343.64,-0.15,0.23,0.42,0.65
f0,111,21602000,343.9,1.0,343.9,-0.41,-0.03,0.16,0.39
f0,112,21649000,343.91,1.0,343.91,-0.42,-0.04,0.15,0.38
f0,113,21649001,344.01,1.0,344.01,-0.52,-0.14,0.05,0.28
f0,114,21670000,343.91,1.0,343.91,-0.42,-0.04,0.15,0.38
f0,115,21673000,344.83,1.0,344.83,-1.34,-0.96,-0.77,-0.54
f0,116,21714000,343.83,1.0,343.83,-0.34,0.04,0.23,0.46
f0,117,21848000,344.12,1.0,344.12,-0.63,-0.25,-0.06,0.17
f0,118,21888000,343.83,1.0,343.83,-0.34,0.04,0.23,0.46
f0,119,21904000,343.94,1.0,343.94,-0.45,-0.07,0.12,0.35
f0,120,21925000,343.23,1.0,343.23,0.26,0.64,0.83,1.06
f0,121,22005000,343.87,1.0,343.87,-0.38,0.0,0.19,0.42
f0,122,22012000,343.34,1.0,343.34,0.15,0.53,0.72,0.95
f0,123,22031001,343.93,1.0,343.93,-0.44,-0.06,0.13,0.36
f0,124,22040000,344.15,1.0,344.15,-0.66,-0.28,-0.09,0.14
f0,125,22219000,344.43,1.0,344.43,-0.94,-0.56,-0.37,-0.14
f0,126,22685000,344.29,1.0,344.29,-0.8,-0.42,-0.23,0.0
f0,127,22685001,344.69,1.0,344.69,-1.2,-0.82,-0.63,-0.4
f0,128,22685002,344.58,1.0,344.58,-1.09,-0.71,-0.52,-0.29
f0,129,22685003,344.21,1.0,344.21,-0.72,-0.34,-0.15,0.08
f0,130,23333000,343.96,1.0,343.96,-0.47,-0.09,0.1,0.33
f0,131,23340000,343.88,1.0,343.88,-0.39,-0.01,0.18,0.41
f0,132,23500000,344.67,1.0,344.67,-1.18,-0.8,-0.61,-0.38
f0,133,23726000,345.46,1.0,345.46,-1.97,-1.59,-1.4,-1.17
f0,134,24438000,344.46,1.0,344.46,-0.97,-0.59,-0.4,-0.17
f0,135,24462000,344.78,1.0,344.78,-1.29,-0.91,-0.72,-0.49
f0,136,24462001,344.81,1.0,344.81,-1.32,-0.94,-0.75,-0.52
f0,137,24670001,344.37,1.0,344.37,-0.88,-0.5,-0.31,-0.08
f0,138,26347000,345.74,1.0,345.74,-2.25,-1.87,-1.68,-1.45
f0,139,26347001,345.88,1.0,345.88,-2.39,-2.01,-1.82,-1.59
f0,140,26347002,369.08,1.0,369.08,-25.59,-25.21,-25.02,-24.79
f0,141,26700001,352.3,1.0,352.3,-8.81,-8.43,-8.24,-8.01
f0,142,27010001,351.43,1.0,351.43,-7.94,-7.56,-7.37,-7.14
