bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
218000,,0.0,0.0,0.0,0.0,,0.0
721000,,0.0,0.0,0.0,0.0,,0.0
744000,,0.0,0.0,0.0,0.0,,0.0
1228034,,0.0,0.0,0.0,0.0,,0.0
1587000,,0.0,0.0,0.0,0.0,,0.0
1700000,,0.0,0.0,0.0,0.0,,0.0
1700001,,0.0,0.0,0.0,0.0,,0.0
1700002,,0.0,0.0,0.0,0.0,,0.0
1701000,,0.0,0.0,0.0,0.0,,0.0
1701001,,0.0,0.0,0.0,0.0,,0.0
1701002,,0.0,0.0,0.0,0.0,,0.0
1701003,,0.0,0.0,0.0,0.0,,0.0
1701004,,0.0,0.0,0.0,0.0,,0.0
1750003,,0.0,0.0,0.0,0.0,,0.0
2504000,,0.0,0.0,0.0,0.0,,0.0
2505000,,0.0,0.0,0.0,0.0,,0.0
2546000,,0.0,0.0,0.0,0.0,,0.0
2646001,,0.0,0.0,0.0,0.0,,0.0
3364000,,0.0,0.0,0.0,0.0,,0.0
4839000,,0.0,0.0,0.0,0.0,,0.0
4840000,,0.0,0.0,0.0,0.0,,0.0
4843000,,0.0,0.0,0.0,0.0,,0.0
5071000,,0.0,0.0,0.0,0.0,,0.0
5072000,,0.0,0.0,0.0,0.0,,0.0
5078001,,0.0,0.0,0.0,0.0,,0.0
5083000,,0.0,0.0,0.0,0.0,,0.0
5085000,,0.0,0.0,0.0,0.0,,0.0
5086000,,0.0,0.0,0.0,0.0,,0.0
5087000,,0.0,0.0,0.0,0.0,,0.0
5102000,,0.0,0.0,0.0,0.0,,0.0
5102001,,0.0,0.0,0.0,0.0,,0.0
5102002,,0.0,0.0,0.0,0.0,,0.0
5102003,,0.0,0.0,0.0,0.0,,0.0
5110000,,0.0,0.0,0.0,0.0,,0.0
5127000,,0.0,0.0,0.0,0.0,,0.0
5128000,,0.0,0.0,0.0,0.0,,0.0
5157007,0.0,0.0,0.0,1.0,1.0,1.0,0.008
5179000,,0.0,0.0,0.0,0.0,,0.0
5180000,,0.0,0.0,0.0,0.0,,0.0
5186000,,0.0,0.0,0.0,0.0,,0.0
5197000,,0.0,0.0,0.0,0.0,,0.0
6525000,,0.0,0.0,0.0,0.0,,0.0
8618000,,0.0,0.0,0.0,0.0,,0.0
8618001,0.0,0.0,0.0,0.0,1.0,1.667,0.004
9700000,,0.0,0.0,0.0,0.0,,0.0
9700001,,0.0,0.0,0.0,0.0,,0.0
9862000,,0.0,0.0,0.0,0.0,,0.0
9862001,,0.0,0.0,0.0,0.0,,0.0
9862002,,0.0,0.0,0.0,0.0,,0.0
10065000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
10227000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
10241000,,0.0,0.0,0.0,0.0,,0.0
10258000,,0.0,0.0,0.0,0.0,,0.0
10277000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
10277001,0.0,0.0,1.0,1.0,1.0,1.0,0.03
10277002,0.0,0.0,1.0,1.0,1.0,1.0,0.03
12463005,,0.0,0.0,0.0,0.0,,0.0
12665000,,0.0,0.0,0.0,0.0,,0.0
12744000,,0.0,0.0,0.0,0.0,,0.0
12744001,,0.0,0.0,0.0,0.0,,0.0
12744002,,0.0,0.0,0.0,0.0,,0.0
12773000,,0.0,0.0,0.0,0.0,,0.0
12773001,,0.0,0.0,0.0,0.0,,0.0
12773002,,0.0,0.0,0.0,0.0,,0.0
12773003,,0.0,0.0,0.0,0.0,,0.0
12773004,,0.0,0.0,0.0,0.0,,0.0
12773005,,0.0,0.0,0.0,0.0,,0.0
13033000,,0.0,0.0,0.0,0.0,,0.0
13033001,,0.0,0.0,0.0,0.0,,0.0
13033002,,0.0,0.0,0.0,0.0,,0.0
13033003,,0.0,0.0,0.0,0.0,,0.0
13033004,,0.0,0.0,0.0,0.0,,0.0
13033005,,0.0,0.0,0.0,0.0,,0.0
13033006,,0.0,0.0,0.0,0.0,,0.0
13033007,,0.0,0.0,0.0,0.0,,0.0
13033008,,0.0,0.0,0.0,0.0,,0.0
13033009,,0.0,0.0,0.0,0.0,,0.0
13033010,,0.0,0.0,0.0,0.0,,0.0
13033011,,0.0,0.0,0.0,0.0,,0.0
13033012,,0.0,0.0,0.0,0.0,,0.0
13033013,,0.0,0.0,0.0,0.0,,0.0
13033014,,0.0,0.0,0.0,0.0,,0.0
13033015,,0.0,0.0,0.0,0.0,,0.0
13033016,,0.0,0.0,0.0,0.0,,0.0
13033017,,0.0,0.0,0.0,0.0,,0.0
13033018,,0.0,0.0,0.0,0.0,,0.0
13033019,,0.0,0.0,0.0,0.0,,0.0
13033020,,0.0,0.0,0.0,0.0,,0.0
13033021,,0.0,0.0,0.0,0.0,,0.0
13033022,,0.0,0.0,0.0,0.0,,0.0
13033023,,0.0,0.0,0.0,0.0,,0.0
13033024,,0.0,0.0,0.0,0.0,,0.0
13033025,,0.0,0.0,0.0,0.0,,0.0
13033026,,0.0,0.0,0.0,0.0,,0.0
13033027,,0.0,0.0,0.0,0.0,,0.0
13033028,,0.0,0.0,0.0,0.0,,0.0
13033029,,0.0,0.0,0.0,0.0,,0.0
13033030,,0.0,0.0,0.0,0.0,,0.0
13033031,,0.0,0.0,0.0,0.0,,0.0
13033032,,0.0,0.0,0.0,0.0,,0.0
13033033,,0.0,0.0,0.0,0.0,,0.0
13033034,,0.0,0.0,0.0,0.0,,0.0
13033035,,0.0,0.0,0.0,0.0,,0.0
13033036,,0.0,0.0,0.0,0.0,,0.0
13033037,,0.0,0.0,0.0,0.0,,0.0
13033038,,0.0,0.0,0.0,0.0,,0.0
13033039,,0.0,0.0,0.0,0.0,,0.0
13033040,,0.0,0.0,0.0,0.0,,0.0
13033041,,0.0,0.0,0.0,0.0,,0.0
13033042,,0.0,0.0,0.0,0.0,,0.0
13033043,,0.0,0.0,0.0,0.0,,0.0
13033044,,0.0,0.0,0.0,0.0,,0.0
13033045,,0.0,0.0,0.0,0.0,,0.0
13033046,,0.0,0.0,0.0,0.0,,0.0
13033047,,0.0,0.0,0.0,0.0,,0.0
13033048,,0.0,0.0,0.0,0.0,,0.0
13033049,,0.0,0.0,0.0,0.0,,0.0
13033050,,0.0,0.0,0.0,0.0,,0.0
13033051,,0.0,0.0,0.0,0.0,,0.0
13033052,,0.0,0.0,0.0,0.0,,0.0
13033053,,0.0,0.0,0.0,0.0,,0.0
13033054,,0.0,0.0,0.0,0.0,,0.0
13033055,,0.0,0.0,0.0,0.0,,0.0
13033056,,0.0,0.0,0.0,0.0,,0.0
13033057,,0.0,0.0,0.0,0.0,,0.0
13033058,,0.0,0.0,0.0,0.0,,0.0
13033059,,0.0,0.0,0.0,0.0,,0.0
13033060,,0.0,0.0,0.0,0.0,,0.0
13033061,,0.0,0.0,0.0,0.0,,0.0
13033062,,0.0,0.0,0.0,0.0,,0.0
13180000,,0.0,0.0,0.0,0.0,,0.0
13404000,,0.0,0.0,0.0,0.0,,0.0
13956000,,0.0,0.0,0.0,0.0,,0.0
14849000,,0.0,0.0,0.0,0.0,,0.0
18848002,,0.0,0.0,0.0,0.0,,0.0
23134000,,0.0,0.0,0.0,0.0,,0.0
23824000,,0.0,0.0,0.0,0.0,,0.0
23851000,,0.0,0.0,0.0,0.0,,0.0
23851001,,0.0,0.0,0.0,0.0,,0.0
23851002,,0.0,0.0,0.0,0.0,,0.0
23851003,,0.0,0.0,0.0,0.0,,0.0
23851004,,0.0,0.0,0.0,0.0,,0.0
24220000,,0.0,0.0,0.0,0.0,,0.0
24261000,,0.0,0.0,0.0,0.0,,0.0
24261001,,0.0,0.0,0.0,0.0,,0.0
24293000,,0.0,0.0,0.0,0.0,,0.0
24293001,,0.0,0.0,0.0,0.0,,0.0
24302000,,0.0,0.0,0.0,0.0,,0.0
24302001,,0.0,0.0,0.0,0.0,,0.0
24312000,,0.0,0.0,0.0,0.0,,0.0
24312001,,0.0,0.0,0.0,0.0,,0.0
24349000,,0.0,0.0,0.0,0.0,,0.0
24382000,,0.0,0.0,0.0,0.0,,0.0
25989002,,0.0,0.0,0.0,0.0,,0.0
