xid,f0_scale,f0_elv,SOURCE,OPERATINGVOLTAGE,SUBTYPECD,layer,prev_bdroms_sum,bdrms_sum
2,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,49.0,71.0
7,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,2.0,19.0
11,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,41.0,116.0
14,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,27.0,21.0
18,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,51.0,39.0
20,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,5.0,183.0
21,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,54.0,45.0
25,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,31.0,21.0
26,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,83.0,51.0
29,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,56.0,40.9
30,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,299.0,329.9
31,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,99.0,12.0
33,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,83.0,73.3
36,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,130.0,121.9
40,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,106.0,124.0
42,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,19.0,17.0
43,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,77.0,35.0
44,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,30.0,46.0
47,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,55.0,46.0
49,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,35.0,35.0
50,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,64.0,12.0
51,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,32.0,6.0
52,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,90.0,51.0
55,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,245.0,230.0
56,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,36.0,57.0
59,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,1.0,98.0
60,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,71.0,170.0
63,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,101.0,192.0
66,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,204.0,101.0
69,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,120.0,90.0
70,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,136.0,213.0
71,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,28.0,25.0
73,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,38.0,145.89999999999998
74,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,111.0,92.0
75,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,264.0,218.90000000000003
76,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,27.0,337.0
77,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,148.0,140.0
79,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,118.0,56.0
82,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,83.0,82.6
83,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,84.0,30.0
84,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,116.0,52.0
85,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,6.0,10.0
86,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,127.0,32.3
87,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,99.0,63.2
88,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,29.0,22.3
89,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,100.0,28.6
90,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,57.0,14.3
92,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,43.0,14.3
93,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,43.0,14.3
94,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,114.0,42.900000000000006
95,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,29.0,16.3
96,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,71.0,57.2
97,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,83.0,43.7
98,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,86.0,42.900000000000006
100,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,72.0,24.0
101,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,43.0,12.0
103,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,43.0,6.0
104,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,29.0,12.0
108,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,110.0,88.4
113,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,2.0
115,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,255.0,231.0
126,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,126.0,132.90000000000003
129,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,3.0,10.0
130,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,8.0,11.0
131,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,13.0,21.0
132,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,41.0,53.89999999999999
134,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
135,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,130.0,166.0
136,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,6.0
137,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,7.0
138,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,3.0
139,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,5.0
140,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,4.0
144,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,5.0
147,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,5.0
165,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,2.0
179,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,60.0,111.0
180,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,14.0,85.0
182,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,17.0,62.0
183,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,19.0,75.0
185,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,4.0,43.0
187,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,121.0,159.9
195,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,52.0,68.69999999999999
210,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,2.0
212,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,4.0
213,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
214,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,6.0
220,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,99.0
224,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,164.0,95.1
226,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,60.0,60.0
227,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,62.0,140.0
228,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,5.8
229,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,11.6
230,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,11.6
232,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,17.4
233,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,15.0
234,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,17.4
237,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,11.6
239,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,2.0,121.4
247,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,10.0,41.8
261,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,11.0,30.0
262,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,12.0
265,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,45.0
287,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,12.0,25.0
289,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,11.0
293,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,,8.0
294,1,0.1,FortisBC,230.0,3.0,UNDERGROUND_TRANSFORMERS,,7.0
297,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,5.0
299,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,9.0
301,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,8.0
302,1,0.1,FortisBC,230.0,3.0,UNDERGROUND_TRANSFORMERS,,14.0
303,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,13.0
304,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,13.0
306,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,31.0
308,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,7.0
310,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,4.0
312,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,14.0
313,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,11.0
315,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,10.0
316,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,79.0
319,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,23.0
320,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,27.0
321,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,28.0
322,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,26.0
323,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,1.0
324,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,6.0
325,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,,5.0
327,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,6.0
328,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,12.0
329,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,7.0
330,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,27.0
335,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,6.0,18.0
344,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,29.0
345,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,1.0,30.0
354,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,15.0
355,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,33.0
357,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,40.0
358,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,23.0
359,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,25.0,51.9
360,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,90.0
362,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,38.0,62.0
363,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,49.0,67.0
366,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,149.0,232.99999999999997
371,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,21.0,28.0
376,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,7.0
380,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,2.0
382,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,2.0,6.0
384,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,1.0
391,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,3.0
393,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,1.0
396,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,1.0
404,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,1.0
405,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,,4.0
408,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,10.0
411,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,9.0
412,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,4.0
414,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,3.0
415,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,18.0
420,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,53.0,54.0
421,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,91.0,58.0
422,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,35.0,32.0
434,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,53.0,25.0
436,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,17.0,19.0
437,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,302.0,307.0
438,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,108.0,56.0
439,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,153.0,107.0
440,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,97.0,97.1
443,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,324.0,284.0
444,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,42.0,40.0
445,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,112.0,115.0
446,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,43.0,46.0
3026,1,0.1,City of Penticton,,3.0,Electric_Transformer,,44.5
3099,1,0.1,City of Penticton,,3.0,Electric_Transformer,,118.5
3895,1,0.1,City of Penticton,,3.0,Electric_Transformer,,26.0
3597,1,0.1,City of Penticton,,7.0,Electric_Transformer,,102.0
3870,1,0.1,City of Penticton,,3.0,Electric_Transformer,,37.599999999999994
3235,1,0.1,City of Penticton,,3.0,Electric_Transformer,,44.0
3595,1,0.1,City of Penticton,,3.0,Electric_Transformer,,59.5
3276,1,0.1,City of Penticton,,3.0,Electric_Transformer,,28.0
3441,1,0.1,City of Penticton,,3.0,Electric_Transformer,,31.0
2915,1,0.1,City of Penticton,,3.0,Electric_Transformer,,5.0
454,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,18.0
3243,1,0.1,City of Penticton,,3.0,Electric_Transformer,,5.0
3896,1,0.1,City of Penticton,,7.0,Electric_Transformer,,330.0
3813,1,0.1,City of Penticton,,3.0,Electric_Transformer,,69.89999999999999
3377,1,0.1,City of Penticton,,3.0,Electric_Transformer,,3.0
460,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
3620,1,0.1,City of Penticton,,3.0,Electric_Transformer,,7.0
3297,1,0.1,City of Penticton,,3.0,Electric_Transformer,,37.0
3298,1,0.1,City of Penticton,,3.0,Electric_Transformer,,43.0
2963,1,0.1,City of Penticton,,7.0,Electric_Transformer,,59.0
2969,1,0.1,City of Penticton,,7.0,Electric_Transformer,,78.0
2968,1,0.1,City of Penticton,,7.0,Electric_Transformer,,87.0
3106,1,0.1,City of Penticton,,7.0,Electric_Transformer,,110.0
3491,1,0.1,City of Penticton,,3.0,Electric_Transformer,,45.0
3642,1,0.1,City of Penticton,,7.0,Electric_Transformer,,27.0
3880,1,0.1,City of Penticton,,3.0,Electric_Transformer,,36.5
2967,1,0.1,City of Penticton,,7.0,Electric_Transformer,,99.2
3075,1,0.1,City of Penticton,,3.0,Electric_Transformer,,1.0
461,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,16.0
462,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,801.0,15.0
3763,1,0.1,City of Penticton,,7.0,Electric_Transformer,,28.5
3733,1,0.1,City of Penticton,,3.0,Electric_Transformer,,42.0
3885,1,0.1,City of Penticton,,7.0,Electric_Transformer,,32.0
3490,1,0.1,City of Penticton,,7.0,Electric_Transformer,,117.4
3482,1,0.1,City of Penticton,,7.0,Electric_Transformer,,67.0
3040,1,0.1,City of Penticton,,3.0,Electric_Transformer,,10.0
3734,1,0.1,City of Penticton,,3.0,Electric_Transformer,,31.0
464,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,10.0
3035,1,0.1,City of Penticton,,3.0,Electric_Transformer,,20.5
3293,1,0.1,City of Penticton,,3.0,Electric_Transformer,,68.5
3329,1,0.1,City of Penticton,,3.0,Electric_Transformer,,77.39999999999999
465,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,34.0
3039,1,0.1,City of Penticton,,3.0,Electric_Transformer,,22.0
3084,1,0.1,City of Penticton,,3.0,Electric_Transformer,,36.0
466,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,1349.0,9.0
467,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,13.0
3781,1,0.1,City of Penticton,,7.0,Electric_Transformer,,18.0
3262,1,0.1,City of Penticton,,3.0,Electric_Transformer,,37.0
3043,1,0.1,City of Penticton,,7.0,Electric_Transformer,,20.5
3089,1,0.1,City of Penticton,,7.0,Electric_Transformer,,170.5
2965,1,0.1,City of Penticton,,7.0,Electric_Transformer,,64.0
3370,1,0.1,City of Penticton,,3.0,Electric_Transformer,,19.0
468,1,0.1,FortisBC,150.0,3.0,UNDERGROUND_TRANSFORMERS,887.0,12.0
3522,1,0.1,City of Penticton,,3.0,Electric_Transformer,,24.0
3484,1,0.1,City of Penticton,,3.0,Electric_Transformer,,29.0
3486,1,0.1,City of Penticton,,3.0,Electric_Transformer,,19.0
3292,1,0.1,City of Penticton,,3.0,Electric_Transformer,,18.0
3261,1,0.1,City of Penticton,,3.0,Electric_Transformer,,26.0
3463,1,0.1,City of Penticton,,3.0,Electric_Transformer,,8.0
3783,1,0.1,City of Penticton,,3.0,Electric_Transformer,,6.0
2907,1,0.1,City of Penticton,,3.0,Electric_Transformer,,33.0
3881,1,0.1,City of Penticton,,3.0,Electric_Transformer,,24.0
3821,1,0.1,City of Penticton,,3.0,Electric_Transformer,,54.599999999999994
3041,1,0.1,City of Penticton,,3.0,Electric_Transformer,,22.0
3453,1,0.1,City of Penticton,,7.0,Electric_Transformer,,12.0
2950,1,0.1,City of Penticton,,7.0,Electric_Transformer,,17.4
3485,1,0.1,City of Penticton,,3.0,Electric_Transformer,,28.0
3708,1,0.1,City of Penticton,,3.0,Electric_Transformer,,12.0
3291,1,0.1,City of Penticton,,3.0,Electric_Transformer,,27.0
3219,1,0.1,City of Penticton,,3.0,Electric_Transformer,,24.0
3523,1,0.1,City of Penticton,,3.0,Electric_Transformer,,36.0
3751,1,0.1,City of Penticton,,7.0,Electric_Transformer,,131.0
3452,1,0.1,City of Penticton,,3.0,Electric_Transformer,,24.0
3182,1,0.1,City of Penticton,,7.0,Electric_Transformer,,38.0
2964,1,0.1,City of Penticton,,7.0,Electric_Transformer,,24.0
3266,1,0.1,City of Penticton,,3.0,Electric_Transformer,,16.0
3328,1,0.1,City of Penticton,,3.0,Electric_Transformer,,26.0
3052,1,0.1,City of Penticton,,7.0,Electric_Transformer,,30.0
3327,1,0.1,City of Penticton,,3.0,Electric_Transformer,,31.0
3326,1,0.1,City of Penticton,,3.0,Electric_Transformer,,32.0
3049,1,0.1,City of Penticton,,3.0,Electric_Transformer,,9.0
3488,1,0.1,City of Penticton,,3.0,Electric_Transformer,,6.0
3489,1,0.1,City of Penticton,,3.0,Electric_Transformer,,4.0
3223,1,0.1,City of Penticton,,3.0,Electric_Transformer,,37.0
3640,1,0.1,City of Penticton,,3.0,Electric_Transformer,,3.0
3483,1,0.1,City of Penticton,,3.0,Electric_Transformer,,23.0
3296,1,0.1,City of Penticton,,3.0,Electric_Transformer,,15.0
3260,1,0.1,City of Penticton,,3.0,Electric_Transformer,,34.0
3694,1,0.1,City of Penticton,,3.0,Electric_Transformer,,36.0
3695,1,0.1,City of Penticton,,3.0,Electric_Transformer,,33.0
