xid,f0_scale,f0_elv,SOURCE,OPERATINGVOLTAGE,SUBTYPECD,layer,prev_bdroms_sum,bdrms_sum
1625,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,55.0,38.0
1626,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,124.0,98.0
1631,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,38.0,22.0
1640,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,111.0,38.0
1642,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,130.0,128.0
1643,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,67.0,61.0
1644,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,128.0,53.6
1646,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,5.0,16.0
1647,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,145.0,28.0
1653,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,64.0,38.0
1654,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,148.0,136.0
1661,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,102.0,18.0
1664,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,93.0,18.0
1669,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,277.0,116.0
1679,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,168.0,6.0
1684,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,211.0,128.0
1685,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,378.0,66.0
1692,1,0.1,FortisBC,230.0,30.0,UNDERGROUND_TRANSFORMERS,117.0,89.0
1695,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,110.0,98.0
1700,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,128.0,110.0
1714,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,267.0,266.5
1715,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,401.0,262.5
1716,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,180.0,54.0
1718,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,81.0,10.0
1723,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,24.0,34.0
1724,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,138.0,138.0
1726,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,57.0,57.0
1728,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,5.0,4.0
1729,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,12.0,3.0
1736,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,13.0,9.0
1766,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,36.0,44.0
1774,1,0.1,FortisBC,230.0,35.0,UNDERGROUND_TRANSFORMERS,11.0,78.0
1808,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,11.0
1819,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,28.8
1820,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
1838,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,41.400000000000006
1866,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,2.0
1916,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,26.0
1919,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,26.0
1934,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
1940,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
1946,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,2.0
1984,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,40.0
1998,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
2000,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,182.0,11.0
2010,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,160.0,160.0
2013,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,122.0,117.5
2035,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,0.0,5.0
2039,1,0.1,FortisBC,230.0,35.0,UNDERGROUND_TRANSFORMERS,102.0,3.0
2044,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,110.0,104.0
2057,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,92.0,129.1
2061,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,0.0,2.0
2064,1,0.1,FortisBC,230.0,30.0,UNDERGROUND_TRANSFORMERS,19.0,16.0
2068,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,0.0,3.0
2083,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,234.0,290.4
2087,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,11.0,7.0
2091,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
2108,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,150.0,2.0
2112,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
2123,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,,576.0
2124,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,302.0,85.7
2135,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,0.0,15.0
2140,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,125.0,6.0
2141,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,348.0,12.0
2143,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,223.0,6.0
2152,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,520.0,294.70000000000005
2155,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,442.0,347.3
2159,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,386.0,465.50000000000006
2161,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
2167,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,374.0,147.3
2169,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
2170,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,306.0,147.3
2182,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,1.0
2184,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,386.0,79.4
2192,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,9.0,7.0
2194,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,90.0,75.0
2195,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,4.0,2.0
2196,1,0.1,FortisBC,230.0,35.0,UNDERGROUND_TRANSFORMERS,10.0,5.9
2198,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,23.0,10.0
2200,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,68.0,59.0
2201,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,203.0,190.5
2204,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,59.0,54.0
2205,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,61.0,48.0
2206,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,93.0,74.0
2207,1,0.1,FortisBC,230.0,30.0,UNDERGROUND_TRANSFORMERS,24.0,8.6
2209,1,0.1,FortisBC,230.0,30.0,UNDERGROUND_TRANSFORMERS,36.0,32.9
2217,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,88.0,83.0
2218,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,78.0,79.89999999999999
2219,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,225.0,223.0
2220,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,64.0,65.0
2222,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,294.0,300.1
2223,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,22.0,22.0
2225,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,12.0,10.700000000000001
2226,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,7.0,7.3
2227,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,10.0,10.0
2228,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,96.0,107.0
2229,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,29.0,13.0
2230,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,7.0,2.0
2231,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,10.0,6.0
2234,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,26.0,24.0
2236,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,27.0,23.0
2238,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,28.0,28.0
2239,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,4.0,7.0
2243,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,0.0,30.0
2246,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,174.0,191.39999999999992
2255,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,67.0,89.0
2273,1,0.1,FortisBC,230.0,3.0,UNDERGROUND_TRANSFORMERS,7.0,4.0
2281,1,0.1,FortisBC,230.0,3.0,UNDERGROUND_TRANSFORMERS,7.0,7.0
2282,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,16.0,20.0
2284,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,3.0,3.0
2285,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,6.0,3.0
2286,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,40.0,40.0
2290,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,195.0,161.0
2291,1,0.1,FortisBC,230.0,15.0,UNDERGROUND_TRANSFORMERS,3.0,3.0
2292,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,51.0,49.0
2298,1,0.1,FortisBC,172.0,3.0,UNDERGROUND_TRANSFORMERS,20.0,21.0
2355,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,186.0,195.0
2362,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,38.0,12.0
2363,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,240.0,240.20000000000005
2365,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,84.0,48.0
2366,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,46.0,18.0
2368,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,35.0,35.0
2369,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,212.0,14.8
2370,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,48.0,38.0
2371,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,39.0,37.0
2372,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,209.0,28.3
2373,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,20.0,24.0
2375,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,226.0,25.3
2376,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,46.0,12.0
2377,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,94.0,73.5
2378,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,86.0,75.0
2379,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,142.0,87.6
2380,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,170.0,180.79999999999984
2381,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,73.0,42.9
2382,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,21.0,18.0
2384,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,7.0,7.0
2388,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,217.0,222.0
2389,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,0.0,9.0
2390,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,15.0,27.0
2391,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,92.0,91.80000000000001
2392,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,112.0,116.0
2394,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,235.0,292.0
2395,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,213.0,228.0
2396,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,88.0,85.5
2397,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,1.0,7.0
2398,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,75.0,61.5
2399,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,112.0,106.0
2400,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,31.0,27.0
2401,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,46.0,49.0
2402,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,33.0,25.0
2403,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,25.0,20.0
2404,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,12.0,12.0
2405,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,117.0,122.89999999999999
2406,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,25.0,25.0
2407,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,14.0,18.0
2408,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,76.0,79.0
2409,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,11.0,12.0
2410,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,71.0,73.0
2411,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,226.0,227.0
2412,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,255.0,262.79999999999995
2413,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,31.0,27.0
2414,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,12.0,44.0
2415,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,18.0,14.0
2416,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,36.0,24.0
2417,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,12.0,9.0
2418,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,14.0,14.5
2419,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,41.0,33.5
2420,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,50.0,50.0
2421,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,57.0,47.5
2422,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,38.0,19.0
2423,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,10.0,9.5
2424,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,67.0,47.5
2426,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,100.0,105.19999999999999
2427,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,76.0,57.0
2428,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,67.0,38.0
2430,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,39.0,39.0
2431,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,48.0,28.5
2432,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,57.0,28.5
2433,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,57.0,57.0
2436,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,305.0,328.4
2437,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,8.0,5.0
2438,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,128.0,141.10000000000002
2439,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,9.0,5.0
2440,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,11.0,7.0
2441,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,13.0,14.0
2442,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,3.0,5.0
2443,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,100.0,103.0
2445,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,153.0,154.1
2447,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,22.0,21.900000000000002
2449,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,30.0,25.0
2450,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,21.0,13.0
2452,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,22.0,16.0
2454,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,32.0,24.0
2455,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,63.0,56.0
2456,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,85.0,82.80000000000001
2457,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,38.0,35.0
2458,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,35.0,28.0
2459,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,29.0,29.0
2460,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,28.0,25.0
2461,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,14.0,5.0
2462,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,25.0,25.0
2464,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,3.0,3.0
2465,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,21.0,19.0
2467,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,52.0,44.0
2473,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,38.0,13.0
2474,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,38.0,6.0
2476,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,52.0,7.5
2481,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,41.0,9.0
2484,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,60.0,25.5
2485,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,27.0,6.0
2487,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,190.0,189.0
2488,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,214.0,215.89999999999998
2493,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,11.0,8.0
2495,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,44.0,36.0
2500,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,102.0,80.0
2501,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,18.0,6.0
2502,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,27.0,6.0
2503,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,26.0,19.0
2504,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,45.0,40.0
2507,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,52.0,52.0
2508,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,16.0,7.0
2535,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,86.0,53.9
2541,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,40.0,19.0
2543,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,28.0,13.0
2544,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,121.0,97.39999999999999
2555,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,17.0,37.0
2556,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,44.0,33.0
2565,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,68.0,63.0
2574,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,35.0,35.0
2577,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,83.0,60.6
2579,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,52.0,40.0
2584,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,114.0,253.5
2585,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,67.0,116.0
2589,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,45.0,26.3
2590,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,30.0,24.0
2591,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,61.0,26.700000000000006
2592,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,57.0,54.39999999999999
2594,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,8.0,6.0
2595,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,34.0,62.0
2601,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,75.0,79.39999999999998
2603,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,120.0,118.0
2608,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,0.0,195.0
2610,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,74.0,70.0
2615,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,108.0,106.89999999999999
2619,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,14.0,14.0
2620,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,198.0,195.1
2623,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,0.0,26.0
2626,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,18.0,63.0
2633,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,64.0,77.0
2634,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,0.0,21.0
2644,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,67.0,24.0
2647,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,35.0,7.5
2654,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,20.0,12.5
2682,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,9.0,9.0
2683,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,61.0,26.0
2684,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,57.0,25.0
2686,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,56.0,25.0
2690,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,10.0,10.0
2691,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,19.0,13.0
2728,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,41.0,173.0
2793,1,0.1,BC Hydro Distribution,,,UG_TRANSFORMER,7.0,7.0
